estado,sigla,regiao,populacao,area_km2
São Paulo,SP,Sudeste,46649132,248219
Minas Gerais,MG,Sudeste,21411923,586522
Rio de Janeiro,RJ,Sudeste,17463349,43750
Espírito Santo,ES,Sudeste,4108508,46074
Paraná,PR,Sul,11597484,199307
Santa Catarina,SC,Sul,7338473,95730
Rio Grande do Sul,RS,Sul,11466630,281730
Bahia,BA,Nordeste,14985284,564733
Ceará,CE,Nordeste,9240580,148894
Pernambuco,PE,Nordeste,9674793,98067
Maranhão,MA,Nordeste,7153262,329642
Paraíba,PB,Nordeste,4059905,56467
Rio Grande do Norte,RN,Nordeste,3560903,52809
Alagoas,AL,Nordeste,3365351,27843
Sergipe,SE,Nordeste,2338474,21926
Piauí,PI,Nordeste,3289290,251755
Amazonas,AM,Norte,4269995,1559148
Pará,PA,Norte,8777124,1247954
Tocantins,TO,Norte,1607363,277720
Rondônia,RO,Norte,1815278,237765
Acre,AC,Norte,906876,164173
Amapá,AP,Norte,877613,142470
Roraima,RR,Norte,652713,224273
Mato Grosso,MT,Centro-Oeste,3567234,903207
Mato Grosso do Sul,MS,Centro-Oeste,2839188,357145
Goiás,GO,Centro-Oeste,7206589,340242
Distrito Federal,DF,Centro-Oeste,3094325,5760
